Theta_deg,Volume_m3,Pressure_Pa,Turbulence_k,BurnFraction_xb,EndGas_Temperature_K,EndGas_Pressure_Pa,KnockIntegral_KI,KnockDetected,KnockTheta_deg
-68,0.0002325868132415353,314113.5211994374,0.0,0.0,403.6412723959866,314113.5211994374,1.1044129334102326e-20,False,
-67,0.0002280768152603132,322527.65676000743,147.5658936093012,0.0,406.41707735219654,322527.65676000743,1.5278679139234273e-20,False,
-66,0.00022358030979037364,331315.0797285479,0.0,0.0,409.2593439022201,331315.0797285479,2.1215343637715623e-20,False,
-65,0.00021909915197504024,340495.643778225,145.39527532296762,0.0,412.1697393533573,340495.643778225,2.956732203985376e-20,False,
-64,0.0002146352062006681,350090.4020858347,0.0,0.0,415.14997054470524,350090.4020858347,4.1357870061911333e-20,False,
-63,0.0002101903447813793,360121.68289251043,143.04751529007828,0.0,418.20178341862913,360121.68289251043,5.805959153107058e-20,False,
-62,0.00020576644662840204,370613.1692962036,0.0,0.0,421.3269623341824,370613.1692962036,8.179816019865616e-20,False,
-61,0.0002013653959060403,381589.983348609,140.5254738945885,0.0,424.5273290814985,381589.983348609,1.1565105409938895e-19,False,
-60,0.00019698908067628697,393078.7744876176,0.0,0.0,427.80474155074273,393078.7744876176,1.6408673242861512e-19,False,
-59,0.0001926393915340843,405107.8122827375,137.832223855448,0.0,431.16109200309916,405107.8122827375,2.336118817304676e-19,False,
-58,0.00018831822023520622,417707.08340278186,0.0,0.0,434.5983048844315,417707.08340278186,3.33727600390004e-19,False,
-57,0.00018402745831871172,430908.39262945426,134.97104648296616,0.0,438.1183341145985,430908.39262945426,4.783452562223467e-19,False,
-56,0.00017976899572588962,444745.46763378964,0.0,0.0,441.72315977684747,444745.46763378964,6.878876678335221e-19,False,
-55,0.00017554471941757003,459254.06710066274,131.9454276810407,0.0,445.4147841221803,459254.06710066274,9.924139651448198e-19,False,
-54,0.0001713565119916436,474472.0916248883,0.0,0.0,449.1952267929743,474472.0916248883,1.4362762466456809e-18,False,
-53,0.0001672062503025806,490439.6966052687,128.75905370012097,0.0,453.06651915837335,490439.6966052687,2.0850721261576315e-18,False,
-52,0.0001630958040846926,507199.40612379945,0.0,0.0,457.0306976409511,507199.40612379945,3.036043570144747e-18,False,
-51,0.0001590270345808312,524796.2265086124,125.41580664607939,0.0,461.0897958997955,524796.2265086124,4.433655821648137e-18,False,
-50,0.0001550017931781589,543277.7579326,0.0,0.0,465.24583571941247,543277.7579326,6.4929716407337116e-18,False,
-49,0.0001510219200525739,562694.3019852272,121.91975975046358,0.0,469.50081643663356,562694.3019852272,9.534768113651307e-18,False,
-48,0.00014708924282331046,583098.9626618195,0.0,0.0,473.8567027190038,583098.9626618195,1.4038356148413632e-17,False,
-47,0.00014320557521917528,604547.7376303372,118.27517240789116,0.0,478.3154104879359,604547.7376303372,2.0721103484720252e-17,False,
-46,0.00013937271575782182,627099.5959467299,0.0,0.0,482.87879075828573,627099.5959467299,3.065825249803936e-17,False,
-45,0.0001355924464393961,650816.5375817914,114.48648498663337,0.0,487.54861114307306,650816.5375817914,4.546354724962946e-17,False,
-44,0.00013186653145583297,675763.6291792471,0.0,0.0,492.32653474802623,675763.6291792471,6.756161118756615e-17,False,
-43,0.0001281967159170088,702009.0093706395,110.55831341871045,0.0,497.21409615583474,702009.0093706395,1.0059869263483877e-16,False,
-42,0.00012458472459490332,729623.8557111477,0.0,0.0,502.2126741748821,729623.8557111477,1.5006190837258697e-16,False,
-41,0.0001210322606868528,758682.3038569817,106.4954435760895,0.0,507.3234610025276,758682.3038569817,2.2421228617609303e-16,False,
-40,0.0001175410045989175,789261.3079666101,0.0,0.0,512.5474274295767,789261.3079666101,3.354893366780853e-16,False,
-39,0.00011411261275032621,821440.4294664707,102.30282543983658,0.0,517.8852836916598,821440.4294664707,5.026227269021721e-16,False,
-38,0.0001107487163998982,855301.5392753773,0.0,0.0,523.3374355564019,855301.5392753773,7.538016463982621e-16,False,
-37,0.0001074509204952862,890928.4163390349,97.98556706932747,0.0,528.903935224523,890928.4163390349,1.1314214499856852e-15,False,
-36,0.00010422080254582358,928406.2229101057,0.0,0.0,534.584426620909,928406.2229101057,1.6991738177727018e-15,False,
-35,0.0001010599115197039,967820.834463229,93.5489283788639,0.0,540.3780846614086,967820.834463229,2.5526039049697024e-15,False,
-34,9.796976676616998e-05,1009257.9995286186,0.0,0.0,546.2835481064831,1009257.9995286186,3.834770660270108e-15,False,
-33,9.49518569633324e-05,1052802.3021683125,88.99831472927845,0.0,552.2988456585882,1052802.3021683125,5.75937455760736e-15,False,
-32,9.20076390921898e-05,1098535.8974570336,0.0,0.0,558.4213150317943,1098535.8974570336,8.644738024047643e-15,False,
-31,8.91385374373746e-05,1146536.988373406,84.33927034233477,0.0,564.6475148261412,1146536.988373406,1.296343470243822e-14,False,
-30,8.634594261510136e-05,1196878.0112345559,0.0,0.0,570.973129182948,1196878.0112345559,1.9414278988082302e-14,False,
-29,8.363121062875025e-05,1249623.496577552,79.57747154594766,0.0,577.3928653889267,1249623.496577552,2.902593221083536e-14,False,
-28,8.099566195247956e-05,1304827.5736577027,0.0,0.0,583.9003448453285,1304827.5736577027,4.3304674919147677e-14,False,
-27,7.844058064321568e-05,1362531.0900513344,74.71871985845162,0.0,590.4879881325522,1362531.0900513344,6.444301468669097e-14,False,
-26,7.596721348133836e-05,1422758.3238773856,0.0,0.0,597.1468952894276,1422758.3238773856,9.561072814639886e-14,False,
-25,7.357676914034004e-05,1485513.2756416374,69.7689349203445,0.0,603.8667228974405,1485513.2756416374,1.413554727442343e-13,False,
-24,7.127041738570655e-05,1550775.5404833104,0.0,0.0,610.6355601187789,1550775.5404833104,2.0814573592678607e-13,False,
-23,6.904928830323495e-05,1618495.7805132591,64.73414728211753,0.0,617.43980648478,1618495.7805132591,3.050936302454439e-13,False,
